ZipCode,City,State,MedianPrice,Livability_Score,PredictedPrice,Residual
22743,Etlan,VA,338960.02303909155,0.8,555720.1960209971,-216760.17298190558
22041,Falls Church,VA,445639.1895721673,38.5,662835.0829417284,-217195.89336956112
22304,Alexandria,VA,443696.4824011979,38.7,663403.3316787084,-219706.84927751054
20706,Lanham Seabrook,MD,434059.3513154816,35.6,654595.4762555183,-220536.12494003668
20602,Waldorf,MD,384637.2522261107,18.3,605441.9605067477,-220804.708280637
21716,Brunswick,MD,391332.03004108666,21.4,614249.8159299379,-222917.7858888512
20886,Montgomery Village,MD,387410.6789371904,20.5,611692.6966135278,-224282.01767633745
20740,College Park,MD,437483.5384898924,39.1,664539.8291526684,-227056.29066277598
20712,Mount Rainier,MD,451312.1165244553,44.1,678746.0475771686,-227433.93105271325
22630,Front Royal,VA,377785.5147123273,20.6,611976.8209820178,-234191.3062696905
20640,Indian Head,MD,337307.68458777067,8.0,576177.1505522775,-238869.4659645068
20781,Edmonston,MD,434139.4890156525,42.7,674768.3064183085,-240628.81740265602
20625,Cobb Island,MD,351313.147701819,14.0,593224.6126616776,-241911.46495985863
22960,Orange,VA,312972.331239644,0.6,555151.9472840172,-242179.61604437325
22623,Chester Gap,VA,315865.34362604795,3.2,562539.1808647573,-246673.83723870933
20782,Hyattsville,MD,433284.93777797854,44.8,680734.9181565986,-247449.98037862004
20783,Langley Park,MD,400810.4385979944,33.7,649197.1132542082,-248386.67465621384
22972,Somerset,VA,305344.5093294482,0.1,553731.3254415671,-248386.8161121189
20657,Lusby,MD,353292.47560443496,17.5,603168.9655588277,-249876.48995439277
20737,East Riverdale,MD,396955.6665391873,35.5,654311.3518870283,-257355.685347841
20612,Hughesville,MD,333531.6291059444,13.4,591519.8664507376,-257988.23734479316
21762,Union Bridge,MD,319115.83371367445,10.9,584416.7572384875,-265300.923524813
20658,Marbury,MD,350292.7966853783,22.7,617943.4327203078,-267650.63603492954
22657,Strasburg,VA,327242.8646650811,16.2,599475.3487684577,-272232.48410337657
22134,Quantico,VA,328773.9316124258,19.2,607999.0798231578,-279225.148210732
20748,Temple Hills,MD,363233.2022498434,33.8,649481.2376226982,-286248.0353728548
20005,Washington,DC,520911.52826701687,91.2,812568.62513596,-291657.0968689432
20784,Landover Hills,MD,373045.855733605,39.3,665108.0778896484,-292062.2221560434
20722,Cottage City,MD,372585.5181961592,40.7,669085.8190485084,-296500.3008523492
20020,Washington,DC,381689.9161071035,44.1,678746.0475771686,-297056.13147006504
20745,Forest Heights,MD,360176.6383021365,37.8,660846.2123622984,-300669.5740601619
20019,Washington,DC,373068.6973265366,43.7,677609.5501032085,-304540.85277667193
20024,Washington,DC,403766.0157933977,55.8,711988.598690499,-308222.5828971013
20785,Greater Landover,MD,343249.59675787366,35.9,655447.8493609882,-312198.2526031146
20747,District Heights,MD,339580.5213052728,36.8,658004.9686773983,-318424.44737212546
20032,Washington,DC,339759.8678792795,37.1,658857.3417828684,-319097.4739035889
20746,Suitland-Silver Hill,MD,334226.5144581968,39.4,665392.2022581385,-331165.68779994163
22851,Stanley,VA,261935.43885644132,14.0,593224.6126616776,-331289.17380523635
20743,Capitol Heights,MD,331537.74350841896,40.8,669369.9434169985,-337832.1999085795
20710,Bladensburg,MD,320570.6171146726,39.4,665392.2022581385,-344821.58514346584
20004,Washington,DC,447394.7340518975,87.2,801203.65039636,-353808.9163444625
20770,Greenbelt,MD,281400.8518766154,34.6,651754.2325706183,-370353.3806940029
20036,Washington,DC,378614.3084206867,85.9,797510.0336059899,-418895.7251853032
20006,Washington,DC,248130.71134834812,81.0,783587.9395499798,-535457.2282016317
